Date,EEM,EFA,EWC,IEV,EPP,IWB,,,,,,
202209,-0.115394324,-0.092220473,-0.086969344,-0.091652609,-0.112206667,-0.096101905,,,,,,
202210,-0.019782126,0.058918146,0.073796978,0.082891853,0.010809337,0.084164033,,,,,,
202211,0.155893582,0.131681039,0.065395171,0.134507304,0.138932919,0.053494232,,,,,,
202212,-0.040991937,-0.022050063,-0.069906216,-0.023711976,-0.029446034,-0.061477356,,,,,,
202301,0.107926041,0.094406952,0.110750259,0.099934377,0.102687355,0.070929992,,,,,,
202302,-0.075677106,-0.030747773,-0.049679094,-0.01995965,-0.080608003,-0.023830803,,,,,,
202303,0.032173728,0.031290543,0.003817978,0.029006345,0.00844951,0.027743594,,,,,,
202304,-0.008362916,0.029362655,0.029842059,0.042583015,0.00770452,0.016133318,,,,,,
202305,-0.024022502,-0.04007082,-0.055113746,-0.051965507,-0.068005884,0.004693167,,,,,,
202306,0.035873323,0.025895013,0.052014459,0.022249178,0.021780292,0.064088021,,,,,,
202307,0.06872209,0.045860936,0.041588786,0.047821403,0.056947572,0.03737796,,,,,,
202308,-0.066269368,-0.039350059,-0.038525592,-0.038030806,-0.067022765,-0.01736925,,,,,,
202309,-0.031146212,-0.036488218,-0.035456829,-0.042143385,-0.035193692,-0.051979437,,,,,,
202310,-0.032938073,-0.029019097,-0.051404666,-0.030588727,-0.034590284,-0.019701279,,,,,,
202311,0.077929117,0.082187672,0.102079339,0.094445683,0.057829013,0.093323494,,,,,,
202312,0.016430648,0.040458402,0.04859922,0.043838885,0.059893995,0.04606909,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
